"","Participant","pw12_ang/pw34_fea_w01_f","pw12_ang/pw34_fea_w01_m","pw12_fea/pw34_ang_w01_f","pw12_fea/pw34_ang_w01_m","pw12_ang/pw34_fea_w02_f","pw12_ang/pw34_fea_w02_m","pw12_fea/pw34_ang_w02_f","pw12_fea/pw34_ang_w02_m","pw12_ang/pw34_fea_w03_f","pw12_ang/pw34_fea_w03_m","pw12_fea/pw34_ang_w03_f","pw12_fea/pw34_ang_w03_m","pw12_ang/pw34_fea_w04_f","pw12_ang/pw34_fea_w04_m","pw12_fea/pw34_ang_w04_f","pw12_fea/pw34_ang_w04_m"
"25","ac09d258",0.642857142857143,0.5,0.571428571428571,0.428571428571429,0.214285714285714,0.428571428571429,0.428571428571429,0.285714285714286,0.5,0.538461538461538,0.428571428571429,0.428571428571429,0.714285714285714,0.571428571428571,0.714285714285714,0.428571428571429
"26","b4c7f791",0.642857142857143,0.571428571428571,0.642857142857143,0.571428571428571,0.285714285714286,0.333333333333333,0.5,0.214285714285714,0.428571428571429,0.285714285714286,0.428571428571429,0.285714285714286,0.571428571428571,0.428571428571429,0.571428571428571,0.571428571428571
"27","cffaace5",0.642857142857143,0.642857142857143,0.5,0.5,0.5,0.5,0.428571428571429,0.357142857142857,0.357142857142857,0.357142857142857,0.428571428571429,0.5,0.571428571428571,0.571428571428571,0.5,0.428571428571429
"28","d20d40cc",0.571428571428571,0.5,0.5,0.285714285714286,0.142857142857143,0.214285714285714,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.357142857142857,0.285714285714286,0.571428571428571,0.357142857142857,0.357142857142857,0.5
"29","d38ffd0b",0.428571428571429,0.5,0.428571428571429,0.428571428571429,0.142857142857143,0.428571428571429,0.214285714285714,0.285714285714286,0.5,0.571428571428571,0.5,0.5,0.357142857142857,0.5,0.384615384615385,0.428571428571429
"30","d4f68536",0.538461538461538,0.428571428571429,0.571428571428571,0.357142857142857,0.357142857142857,0.214285714285714,0.357142857142857,0.142857142857143,0.285714285714286,0.428571428571429,0.285714285714286,0.0714285714285714,0.428571428571429,0.428571428571429,0.5,0.357142857142857
"31","d590d5c3",0.642857142857143,0.642857142857143,0.5,0.714285714285714,0.357142857142857,0.214285714285714,0.214285714285714,0.428571428571429,0.428571428571429,0.642857142857143,0.461538461538462,0.5,0.571428571428571,0.642857142857143,0.642857142857143,0.571428571428571
"32","d5f6a828",0.571428571428571,0.571428571428571,0.571428571428571,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.214285714285714,0.5,0.214285714285714,0.5,0.214285714285714,0.5,0.285714285714286,0.428571428571429,0.214285714285714
"33","dcbab922",0.5,0.642857142857143,0.642857142857143,0.461538461538462,0.214285714285714,0.538461538461538,0.357142857142857,0.285714285714286,0.428571428571429,0.428571428571429,0.428571428571429,0.384615384615385,0.5,0.5,0.428571428571429,0.357142857142857
"34","dcc56fb0",0.357142857142857,0.571428571428571,0.5,0.571428571428571,0,0.285714285714286,0.285714285714286,0.357142857142857,0.214285714285714,0.285714285714286,0.214285714285714,0.428571428571429,0.428571428571429,0.5,0.5,0.5
"35","dce7618c",0.5,0.571428571428571,0.571428571428571,0.571428571428571,0.214285714285714,0.285714285714286,0.357142857142857,0.285714285714286,0.285714285714286,0.357142857142857,0.357142857142857,0.357142857142857,0.642857142857143,0.357142857142857,0.714285714285714,0.357142857142857
"36","de2e65dc",0.357142857142857,0.857142857142857,0.642857142857143,0.642857142857143,0.461538461538462,0.714285714285714,0.5,0.214285714285714,0.571428571428571,0.642857142857143,0.5,0.714285714285714,0.571428571428571,0.5,0.571428571428571,0.5
"37","df4955c7",0.785714285714286,0.785714285714286,0.785714285714286,0.714285714285714,0.428571428571429,0.714285714285714,0.384615384615385,0.714285714285714,0.642857142857143,0.5,0.642857142857143,0.571428571428571,0.642857142857143,0.5,0.714285714285714,0.571428571428571
"38","df6b31a9",0.571428571428571,0.642857142857143,0.5,0.571428571428571,0.285714285714286,0.285714285714286,0.5,0.357142857142857,0.5,0.428571428571429,0.5,0.642857142857143,0.5,0.571428571428571,0.642857142857143,0.642857142857143
"39","e0670839",0.428571428571429,0.642857142857143,0.5,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0.357142857142857,0.285714285714286,0.5,0.5,0.5,0.357142857142857,0.428571428571429,0.428571428571429,0.428571428571429
